ecg (ms)	filtered ecg (ms2)
-0.0088506	0.0000313
-0.0024416	0.0000335
-0.0030519	0.000036
0.0018312	0.0000386
0	0.0000415
0.0003052	0.0000447
-0.0030519	0.0000481
-0.0027467	0.0000518
-0.0061039	0.0000558
-0.0042727	0.0000602
-0.0082402	0.000065
-0.0064091	0.0000701
-0.0076299	0.0000757
-0.0021364	0.0000818
-0.0009156	0.0000883
0.0061039	0.0000954
0.0064091	0.000103
0.0119026	0.0001112
0.009461	0.0001202
0.0112922	0.0001299
0.0064091	0.0001403
0.0073247	0.0001517
0.0009156	0.0001639
0	0.0001772
-0.0051883	0.0001915
-0.0030519	0.0002071
-0.0057987	0.0002238
-0.0021364	0.000242
-0.0042727	0.0002616
-0.0030519	0.0002829
-0.0067143	0.0003059
-0.0057987	0.0003308
-0.0088506	0.0003577
-0.0085454	0.0003869
-0.0091558	0.0004184
-0.0057987	0.0004525
-0.0067143	0.0004894
-0.0009156	0.0005294
0.0006104	0.0005725
0.0036623	0.0006192
0.0067143	0.0006698
0.0088506	0.0007244
0.0097662	0.0007836
0.0115974	0.0008475
0.0057987	0.0009167
0.0030519	0.0009915
-0.0024416	0.0010724
-0.0054935	0.0011599
-0.0088506	0.0012546
-0.0051883	0.0013569
0.0030519	0.0014675
0.0170909	0.0015863
0.0381493	0.0017133
0.0662272	0.0018475
0.0991882	0.001987
0.139779	0.0021291
0.1886101	0.0022698
0.2484282	0.0024042
0.3210645	0.0025269
0.403467	0.0026327
0.4944149	0.002718
0.5862785	0.0027816
0.6775316	0.0028255
0.7547458	0.0028556
0.816395	0.0028802
0.8545443	0.0029087
0.8676677	0.0029491
0.8536288	0.0030059
0.8136483	0.0030787
0.7492523	0.0031611
0.6653238	0.0032423
0.5621681	0.003309
0.445889	0.0033477
0.3216749	0.0033481
0.2005127	0.0033044
0.0882012	0.003217
-0.0076299	0.0030915
-0.0827077	0.0029372
-0.1348959	0.0027649
-0.1699933	0.0025848
-0.1895257	0.0024052
-0.2008179	0.002232
-0.2047854	0.0020684
-0.205701	0.001916
-0.2069218	0.0017749
-0.2078374	0.0016447
-0.2060062	0.0015246
-0.2014283	0.0014138
-0.1944088	0.0013113
-0.1879998	0.0012166
-0.1767076	0.0011288
-0.1660258	0.0010473
-0.1556491	0.0009717
-0.1477141	0.0009015
-0.1400842	0.0008363
-0.131844	0.0007757
-0.1229933	0.0007194
-0.1123115	0.0006671
-0.1046817	0.0006185
-0.0985778	0.0005734
-0.0915583	0.0005315
-0.087896	0.0004927
-0.0845389	0.0004568
-0.0793505	0.0004235
-0.0750778	0.0003927
-0.0717207	0.0003643
-0.0671428	0.000338
-0.06287	0.0003137
-0.0582921	0.0002913
-0.0561558	0.0002706
-0.053409	0.0002515
-0.0497467	0.0002339
-0.0463896	0.0002176
-0.0430324	0.0002026
-0.0390649	0.0001887
-0.0350974	0.0001758
-0.0305194	0.0001639
-0.0231948	0.0001527
-0.0134286	0.0001423
-0.0018312	0.0001325
0.0054935	0.0001232
0.0119026	0.0001146
0.0161753	0.0001064
0.0158701	0.0000988
0.0152597	0.0000918
0.0146493	0.0000853
0.0137337	0.0000792
0.0173961	0.0000736
0.0207532	0.0000684
0.0277727	0.0000636
0.0323506	0.0000591
0.0369285	0.000055
0.0393701	0.0000511
0.043948	0.0000475
0.0460844	0.0000441
0.0479155	0.0000409
0.0466947	0.000038
0.0473051	0.0000353
0.0466947	0.0000329
0.0485259	0.0000306
0.0473051	0.0000284
0.0543246	0.0000265
0.0524934	0.0000247
0.0598181	0.000023
0.0616493	0.0000214
0.0662272	0.0000199
0.0665324	0.0000185
0.0677532	0.0000173
0.0665324	0.0000161
0.0677532	0.000015
0.065922	0.000014
0.0677532	0.0000131
0.067448	0.0000123
0.0689739	0.0000115
0.0683635	0.0000108
0.0689739	0.0000102
0.0671428	0.0000096
0.0692791	0.0000091
0.0723311	0.0000087
0.0772142	0.0000083
0.0805713	0.0000079
0.0830129	0.0000076
0.0790454	0.0000073
0.0747726	0.000007
0.0656168	0.0000068
0.0598181	0.0000066
0.0546298	0.0000063
0.0546298	0.000006
0.053409	0.0000057
0.0555454	0.0000055
0.0558506	0.0000052
0.0558506	0.000005
0.0540194	0.0000048
0.0515779	0.0000046
0.0500519	0.0000044
0.0482207	0.0000043
0.0476103	0.0000042
0.0491363	0.0000041
0.051883	0.000004
0.0595129	0.0000039
0.0631752	0.0000038
0.0662272	0.0000037
0.0677532	0.0000037
0.0656168	0.0000036
0.0653116	0.0000035
0.0634804	0.0000035
0.0650064	0.0000035
0.0619545	0.0000035
0.0625649	0.0000035
0.0585973	0.0000035
