AR	NL
2.3356928	0.7669339
2.3371917	0.0938982
2.3419452	0.3929347
2.34389	0.2394195
2.3556428	0.1288535
2.3606743	0.3330487
2.3608006	0.7673466
2.3648751	0.3513121
2.3704849	0.8918859
2.3833459	0.2836137
2.3918081	0.9885863
2.3931529	0.7720114
2.3939683	0.1564552
2.396999	0.4488899
2.4050164	0.859093
2.4105731	0.4503523
2.4178759	0.4284566
2.4265368	0.6381136
2.4271961	0.353403
2.4350164	0.7992914
2.4355164	0.3806282
2.4373408	0.7372095
2.4435636	0.4703953
2.4445246	0.6505435
2.4471165	0.6806156
2.4493533	0.7274377
2.4643398	0.4573438
2.4742138	0.3078061
2.4857549	0.7686016
2.4895515	0.8487841
2.4922963	0.9340267
2.4978773	0.9866471
2.5003455	0.002253
2.5083466	0.3373914
2.5090014	0.5622044
2.5109307	0.6045269
2.5114791	0.9665974
2.5137242	0.2672555
2.5200906	0.3813827
2.5210633	0.6337959
2.5212641	0.3223471
2.52328	0.8576054
2.5240326	0.9684744
2.5260793	0.1024246
2.5313259	0.2305937
2.531653	0.4810012
2.531805	0.3704042
2.5402286	0.6098875
2.5411528	0.0727329
2.5553605	0.750439
2.5563157	0.7922807
2.5637664	0.8882402
2.5643278	0.211407
2.5651875	0.4697595
2.5681754	0.8117913
2.5703232	0.1525228
2.5783201	0.0956505
2.5800771	0.3195203
2.5810647	0.2771934
2.5900865	0.6254368
2.5939494	0.8488558
2.5987701	0.6382408
2.6016028	0.4188978
2.6022718	0.5890162
2.6047812	0.7747256
2.6092486	0.7397298
2.6199213	0.1158304
2.6258073	0.5318223
2.6279114	0.6456093
2.6307116	0.3116202
2.631844	0.2803217
2.6319745	0.9494405
2.6329765	0.2949172
2.6346208	0.5640243
2.6355096	0.4948779
2.6437039	0.673433
2.6452731	0.2738065
2.6455846	0.6770988
2.6456728	0.3987235
2.6597063	0.2831985
2.6597965	0.529078
2.6641349	0.5220361
2.6652075	0.9691368
2.666876	0.066157
2.6683299	0.086762
2.673913	0.9771205
2.6755296	0.5470607
2.6758387	0.6565656
2.6767603	0.8698299
2.6793398	0.0964151
2.6811732	0.4931946
2.6824552	0.4496208
2.682669	0.9582677
2.690997	0.5351813
2.6935981	0.7444409
2.6944175	0.6102707
2.6985881	0.1244494
2.7009384	0.8187482
2.7022015	0.5910144
2.7026713	0.0156362
2.7064798	0.172885
2.7065896	0.6874874
2.7151473	0.9406002
2.724467	0.7050114
2.7258377	0.7893187
2.7331488	0.8564476
2.7525937	0.8499214
2.752616	0.2152047
2.7526996	0.9355808
2.754911	0.4011196
2.7603525	0.5931591
2.7608761	0.5400359
2.7674597	0.3653407
2.7765186	0.7145151
2.7773228	0.3933701
2.7793061	0.7415216
2.7862389	0.171657
2.7906443	0.0725789
2.7909657	0.2290427
2.7938663	0.7320122
2.7961997	0.9411578
2.7980619	0.0994896
2.7981537	0.2783998
2.798682	0.823736
2.7994933	0.2126003
2.8020734	0.9603102
2.8031274	0.7279172
2.8043209	0.6748016
2.8079512	0.1023778
2.8115307	0.4475517
2.8166306	0.5366294
2.8227964	0.7013575
2.8286065	0.1613276
2.8295347	0.5727179
2.8305837	0.0740105
2.832132	0.634651
2.8364407	0.8328384
2.8435281	0.5462517
2.8444138	0.1066039
2.8526595	0.3293797
2.853452	0.0888603
2.8543882	0.0793188
2.8553022	0.8710693
2.8578506	0.4132934
2.8580939	0.7824944
2.8646313	0.3970195
2.8689258	0.5476312
2.871245	0.8745229
2.87257	0.3716826
2.8729309	0.5285637
2.873173	0.2895488
2.8762299	0.136008
2.8798893	0.3835894
2.8865632	0.1524143
2.8874632	0.6559213
2.8888259	0.2075821
2.8899814	0.4483624
2.9020163	0.3244301
2.9020701	0.3802914
2.9155746	0.4818962
2.9160527	0.5319182
2.9220173	0.8210945
2.9324187	0.370424
2.9343655	0.6793834
2.9346617	0.3053309
2.9358084	0.6352768
2.9367479	0.7736421
2.9464705	0.4169156
2.9526672	0.4084744
2.9539324	0.3489432
2.9541306	0.4543792
2.9549069	0.3645403
2.9646175	0.1392602
2.965058	0.9391924
2.9666667	0.5901057
2.9668977	0.6136281
2.9735163	0.252115
2.9786283	0.740779
2.9812249	0.6889251
2.9848467	0.9029878
2.987695	0.4581558
2.988615	0.7684767
2.9898806	0.4645215
2.9983545	0.1376631
3.0001882	0.1987791
3.0010926	0.4129919
3.0011355	0.1969452
3.0052919	0.384226
3.005447	0.7994993
3.0112821	0.8981828
